
2024/02/27 (18:36:21) | ===> btop++ v.1.3.2
2024/02/27 (18:36:21) | INFO: Logger set to INFO
2024/02/27 (18:36:22) | INFO: Logger set to DEBUG
2024/02/27 (19:18:34) | DEBUG: Writing new config file
2024/02/27 (19:18:34) | INFO: Quitting! Runtime: 00:44:24

2024/02/28 (19:58:13) | ===> btop++ v.1.3.2
2024/02/28 (19:58:13) | INFO: Logger set to DEBUG
2024/02/28 (19:58:13) | DEBUG: Using locale C.UTF-8
2024/02/28 (19:58:13) | INFO: Running on /dev/pts/0
2024/02/28 (19:58:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/02/28 (19:58:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/02/28 (19:58:13) | DEBUG: Shared::init() : Initialized.

2024/02/29 (19:06:10) | ===> btop++ v.1.3.2
2024/02/29 (19:06:10) | INFO: Logger set to DEBUG
2024/02/29 (19:06:10) | DEBUG: Using locale C.UTF-8
2024/02/29 (19:06:10) | INFO: Running on /dev/pts/2
2024/02/29 (19:06:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/02/29 (19:06:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/02/29 (19:06:10) | DEBUG: Shared::init() : Initialized.
2024/02/29 (19:06:40) | DEBUG: Writing new config file
2024/02/29 (19:06:40) | INFO: Quitting! Runtime: 00:00:30

2024/03/05 (18:39:02) | ===> btop++ v.1.3.2
2024/03/05 (18:39:02) | INFO: Logger set to DEBUG
2024/03/05 (18:39:02) | DEBUG: Using locale C.UTF-8
2024/03/05 (18:39:02) | INFO: Running on /dev/pts/1
2024/03/05 (18:39:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/05 (18:39:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/05 (18:39:02) | DEBUG: Shared::init() : Initialized.
2024/03/05 (18:39:31) | INFO: Quitting! Runtime: 00:00:29

2024/03/05 (19:48:25) | ===> btop++ v.1.3.2
2024/03/05 (19:48:25) | INFO: Logger set to DEBUG
2024/03/05 (19:48:25) | DEBUG: Using locale C.UTF-8
2024/03/05 (19:48:25) | INFO: Running on /dev/pts/0
2024/03/05 (19:48:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/05 (19:48:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/05 (19:48:25) | DEBUG: Shared::init() : Initialized.

2024/03/06 (20:23:28) | ===> btop++ v.1.3.2
